"","title","asin","year","genre"
"849","Ice Cream Castle","B000002L66",1985,"Blues"
"850","Diamonds and Pearls","B000002L8Z",1991,"Pop"
"851","Ocean Rain","B000002L5U",1990,"Alternative Rock"
"852","Cupid &amp; Psyche 85","B000002L7Z",1986,"Alternative Rock"
"853","Smooth Sailin'","B000002LBT",1990,"Blues"
"854","L Is for Lover","B000002LA4",1990,"Jazz"
"855","Sign O the Times","B000002LBM",1987,"Alternative Rock"
"856","There Goes Rhymin Simon","B000002LBW",1990,"Folk"
"857","Trio","B000002LAC",1987,"Rock"
"858","Still Crazy After All These Years","B000002LBY",1990,"Folk"
"859","Rhyme Pays","B000002LC6",1990,"Rap & Hip-Hop"
"860","Karyn White","B000002LCQ",1990,"Pop"
"861","Power Corruption And Lies","B000002L82",2011,"Alternative Rock"
"862","Guitars Cadillacs Etc, Etc.","B000002L8V",2008,"Country"
"863","Hindsight 20/20","B000002L4I",2010,"Country"
"864","Shadowland by K. D. Lang (1990)","B000002LE9",1988,"Alternative Rock"
"865","Color of Success","B000002L86",1990,"Blues"
"866","By the Light of the Moon","B000002LAT",1987,"Alternative Rock"
"867","Paul Simon","B000002LBV",1990,"Folk"
"868","Gord's Gold 2","B000002LFJ",1990,"Folk"
"869","Spellbound","B000002LFG",1990,"Jazz"
"870","Fleetwood Mac: Greatest Hits","B000002LFZ",1988,"Pop"
"871","Parade: Music from the Motion Picture &quot;Under the Cherry Moon&quot;","B000002L9B",1986,"Alternative Rock"
"872","Lovesexy","B000002LE6",1988,"Alternative Rock"
"873","In Effect Mode","B000002LD5",1988,"Blues"
"874","Darklands","B000002LD2",1990,"Alternative Rock"
"875","Stay On These Roads","B000002LEO",2010,"Alternative Rock"
"876","The Iceberg/Freedom Of Speech...Just Watch What You Say","B000002LJF",1989,"Blues"
"877","Back on the Block","B000002LJA",1989,"Blues"
"878","Spike","B000002LGU",1990,"Alternative Rock"
"879","Like a Prayer","B000002LGQ",1989,"Pop"
"880","Tales of 1001 Nights, Vol. 1","B000002LKN",1990,"Folk"
"881","Blue Pacific","B000002LLA",1990,"Jazz"
"882","Absolute Torch &amp; Twang","B000002LH9",1989,"Alternative Rock"
"883","Tevin","B000002LM3",1991,"Pop"
"884","Woman I Am","B000002LM7",1992,"Blues"
"885","Ashes to Ashes","B000002LMO",1990,"Jazz"
"886","Missing... Presumed Having a Good Time","B000002LKU",1990,"Country"
"887","Unknown Pleasures","B000002LGL",1990,"Alternative Rock"
"888","Make Time for Love","B000002LOO",1991,"Blues"
"889","Mighty Like a Rose","B000002LP2",2014,"Alternative Rock"
"890","Blood Sugar Sex Magik","B000002LQR",1991,"Alternative Rock"
"891","Common One","B000002LN4",2012,"Blues"
"892","Electronic","B000002LN0",1991,"Alternative Rock"
"893","Southern Pacific - Greatest Hits","B000002LP7",1991,"Country"
"894","Hit to Death in the Future Head","B000002LSO",1992,"Alternative Rock"
"895","Generic","B000002LTK",1992,"Alternative Rock"
"896","Devo - Greatest Hits [Warner Brothers]","B000002LNG",1990,"Alternative Rock"
"897","Foxbase Alpha","B000002LS0",2012,"Alternative Rock"
"898","When I Was a Boy","B000002LSF",1993,"Alternative Rock"
"899","Green Mind","B000002LO1",1991,"Alternative Rock"
"900","World Falling Down","B000002LT6",2012,"Pop"
"901","Good Stuff","B000002LTY",1992,"Alternative Rock"
"902","Graffiti Bridge","B000002LUY",1990,"Pop"
"903","Angel Dust","B000002LRX",1992,"Alternative Rock"
"904","Kiko","B000002LRZ",1992,"Rock"
"905","Greatest Hits","B000002LSV",1992,"Pop"
"906","Honey's Dead","B000002LSJ",1992,"Alternative Rock"
"907","Shout","B000002MBG",1996,"Alternative Rock"
"908","Erotica","B000002MFN",1992,"Pop"
"909","Erotica","B000002M32",1995,"Pop"
"910","Where You Been","B000002MH5",1993,"Alternative Rock"
"911","Isn't Anything","B000002MJ0",1993,"Alternative Rock"
"912","Juliet Letters","B000002MI4",1993,"Alternative Rock"
"913","Walk Right Back: The Everly Brothers On Warner Brothers, 1960-1969","B000002MHW",1993,"Country"
"914","Tubular Bells, II","B000002MFQ",2011,"Rock"
"915","Transmissions From the Satellite Heart","B000002ML7",1993,"Alternative Rock"
"916","Back to Basics","B000002MKD",1993,"Blues"
"917","This Time","B000002MJ8",1993,"Country"
"918","Voice of Love","B000002MME",1993,"Alternative Rock"
"919","Make Him Do Right","B000002MMJ",2013,"Blues"
"920","Hits &amp; B-Sides","B000002MNF",1993,"Pop"
"921","State of the World Address","B000002MQL",1994,"Alternative Rock"
"922","Brutal Youth by Elvis Costello (1994) - Import","B000002MP6",1994,"Alternative Rock"
"923","Without A Sound","B000002MTC",2012,"Alternative Rock"
"924","Give Out But Don't Give Up","B000002MPB",1994,"Alternative Rock"
"925","Waiting for You","B000002MII",1993,"Country"
"926","Don Quixote","B000002MSS",1994,"Country"
"927","The Best of Candi Staton Featuring Young Hearts Run Free","B000002MTN",1995,"Pop"
"928","King for a Day Fool for a Lifetime","B000002MTI",1995,"Alternative Rock"
"929","Clouds Taste Metallic","B000002MYC",1995,"Alternative Rock"
"930","Ruby Vroom","B000002MUG",1994,"Alternative Rock"
"931","Raise the Pressure","B000002N00",1994,"Alternative Rock"
"932","University","B000002MVO",1995,"Alternative Rock"
"933","Back to the World","B000002N1I",1996,"Blues"
"934","Little Texas: Greatest Hits","B000002N1Z",1995,"Country"
"935","Bedtime Stories","B000002MUW",1994,"Pop"
"936","Return of the Rentals","B000002N3F",1995,"Alternative Rock"
"937","Golden Heart","B000002N25",1996,"Folk"
"938","The Best of George Benson","B000002N2T",1995,"Jazz"
"939","Disco Volante","B000002N0B",1995,"Alternative Rock"
"940","Peace Beyond Passion","B000002N2B",1996,"Alternative Rock"
"941","Abandoned Garden","B000002N1D",2012,"Jazz"
"942","Cold on the Shoulder","B000002MST",1994,"Folk"
"943","I Feel Alright","B000002N61",1996,"Country"
"944","All This Useless Beauty","B000002N5X",1996,"Alternative Rock"
"945","Train a Comin","B000002NAV",1997,"Country"
"946","Best of Van Halen, Vol. 1","B000002NAA",1996,"Pop"
"947","Mata Leao","B000002N67",1996,"Alternative Rock"
"948","Perfect From Now on","B000002NC4",1997,"Alternative Rock"
"949","Irresistible Bliss","B000002N56",1996,"Alternative Rock"
"950","Colossal Head","B000002N51",1996,"Other"
"951","Sand &amp; Water","B000002NDY",1997,"Folk"
"952","New World Order","B000002NAO",1996,"Blues"
"953","Rod Stewart: If We Fall in Love Tonight","B000002NC2",1996,"Pop"
"954","Best Of George Benson: The Instrumentals","B000002NGP",1997,"Jazz"
"955","When I Was Born for the 7th Time","B000002NF8",1997,"Alternative Rock"
"956","Graceland","B000002NBY",1997,"Folk"
"957","Extreme Honey: The Best Of The Warner Bros. Years","B000002NIL",1997,"Alternative Rock"
"958","Vanishing Point","B000002NET",1997,"Alternative Rock"
"959","Around the Fur","B000002NIW",1997,"Alternative Rock"
"960","Polydistortion","B000002NGD",1997,"Alternative Rock"
"961","Album of the Year","B000002NG7",1997,"Alternative Rock"
"962","Ray of Light","B000002NJS",1998,"Pop"
"963","Volcano","B000002NZR",1988,"Country"
"964","Trespass","B000002NZO",1993,"Pop"
"965","Second Helping","B000002O05",1988,"Pop"
"966","A1a","B000002NYW",1988,"Country"
"967","Floridays","B000002O2M",1989,"Country"
"968","A Decade of Steely Dan","B000002O1Y",1989,"Pop"
"969","Viva Terlingua","B000002NX9",1990,"Country"
"970","The Best Of 3 Dog Night","B000002O4I",2012,"Pop"
"971","Songs You Know by Heart : Jimmy Buffett's Greatest Hit(s)","B000002O2B",1985,"Country"
"972","High Tension Wires","B000002O5T",1990,"Jazz"
"973","Etta James Rocks the House","B000002O9D",1992,"Blues"
"974","Off to See the Lizard","B000002O6A",1989,"Country"
"975","Southern By the Grace of God","B000002O8D",1989,"Pop"
"976","The Complete Plantation Recordings","B000002OC1",1993,"Blues"
"977","At the Pershing: But Not for Me","B000002O8V",1990,"Jazz"
"978","Poison","B000002O6V",2004,"Blues"
"979","Ask Rufus","B000002OIQ",1992,"Pop"
"980","WBBD-Bootcity! The Remix Album","B000002OHC",1991,"Blues"
"981","The Future","B000002OF7",1990,"Blues"
"982","Jump Up","B000002OJ5",1992,"Other"
"983","Bobby","B000002OIC",1992,"Blues"
"984","The Best of John Lee Hooker 1965 - 1974","B000002OJZ",1992,"Blues"
"985","Bat out of Hell II: Back into Hell","B000002OMN",1993,"Pop"
"986","Argus","B000002OG8",1991,"Pop"
"987","Masterjam","B000002ONC",1993,"Blues"
"988","Elton John - Greatest Hits 1976-1986","B000002OMJ",1992,"Folk"
"989","Essential Steve Earle","B000002ON0",1993,"Country"
"990","Leather Jackets","B000002OJ4",2007,"Pop"
"991","What's the 411","B000002OME",1992,"Blues"
"992","Are You Experienced","B000002OPL",1993,"Blues"
"993","Rufus","B000002OLW",1992,"Pop"
"994","What's the 411 Remix Album","B000002OQH",1993,"Blues"
"995","Diary of a Mad Band","B000002OQ3",1993,"Blues"
"996","Duets","B000002OQ6",1993,"Pop"
"997","Fruitcakes","B000002OS8",1994,"Country"
"998","Blues Summit","B000002OMU",1993,"Blues"
"999","What a Crying Shame","B000002OR0",1994,"Country"
"1000","His 12 Greatest Hits","B000002OQU",1993,"Folk"
"1001","Live at Leeds","B000002OVJ",1995,"Alternative Rock"
"1002","Show the After Party the Hotel","B000002OWQ",1995,"Blues"
"1003","Candy Rain","B000002OU3",1995,"Blues"
"1004","Music for All Occasions","B000002OWN",1995,"Country"
"1005","Welcome To The Neighborhood","B000002OYB",2002,"Pop"
"1006","Sublime","B000002OZS",1996,"Alternative Rock"
"1007","40 Oz to Freedom","B000002P22",1996,"Alternative Rock"
"1008","The Truth","B000002ONY",1993,"Blues"
"1009","Banana Wind","B000002P1B",1996,"Country"
"1010","The Finest","B000002P3W",1996,"Alternative Rock"
"1011","Axis: Bold As Love","B000002P5W",1997,"Pop"
"1012","First Rays of the New Rising Sun","B000002P5R",1997,"Rock"
"1013","Home Again","B000002P2E",1996,"Blues"
"1014","Barometer Soup","B000002OWD",1995,"Country"
"1015","Will The Circle Be Unbroken 2","B000002P8G",2002,"Country"
"1016","Steppenwolf","B000002PAW",1987,"Alternative Rock"
"1017","Little Spice","B000002PAF",1991,"Blues"
"1018","Living &amp; Dying in 3/4 Time","B000002PBH",1989,"Country"
"1019","Stones","B000002PBC",2006,"Pop"
"1020","21 At 33","B000002PBF",2007,"Other"
"1021","Chess Box","B000002P8I",1988,"Blues"
"1022","Coconut Telegraph","B000002PBY",1989,"Country"
"1023","Share My World","B000002P64",1997,"Blues"
"1024","Somewhere Over China","B000002PCV",1987,"Country"
"1025","Allnighter","B000002PCN",2002,"Pop"
"1026","White Sport Coat &amp; Pink Crustacean","B000002PBW",1987,"Country"
"1027","Tap Root Manuscript","B000002PBO",1987,"Pop"
"1028","Royal Scam","B000002PD8",1990,"Pop"
"1029","Changes in Latitudes Changes in Attitudes","B000002PBN",1987,"Country"
"1030","New Edition","B000002PB1",1987,"Blues"
"1031","Last Mango in Paris","B000002PCM",1987,"Country"
"1032","Indian Summer","B000002PEJ",1989,"Country"
"1033","Son of a Son of a Sailor","B000002PBX",1989,"Country"
"1034","Havana Daydreamin","B000002PBZ",1987,"Country"
"1035","Rags to Rufus","B000002PER",1990,"Blues"
"1036","Ready for the World","B000002PCQ",1987,"Blues"
"1037","The Complete Thom Bell Sessions","B000002PFC",1990,"Pop"
"1038","Come on Over","B000002PBS",2005,"Pop"
"1039","Heaven on Earth","B000002PH1",1990,"Pop"
"1040","Guy","B000002PHQ",1988,"Blues"
"1041","Don't Be Cruel","B000002PHV",1988,"Pop"
"1042","Can't Buy a Thrill","B000002PD7",1990,"Pop"
"1043","Hot Water","B000002PH8",1988,"Country"
"1044","Ain't Ever Satisfied: The Steve Earle Collection","B000002PFV",1996,"Country"
"1045","Pebbles","B000002PHA",2003,"Blues"
"1046","Power","B000002Q7Y",NA,"Pop"
"1047","In the Spirit of Things","B000002Q88",1990,"Pop"
"1048","Riddles in the Sand","B000002PC1",1987,"Country"
"1049","At Your Birthday Party","B000002Q7A",1992,"Alternative Rock"
"1050","Astra","B000002QMB",1995,"Pop"
"1051","The Chess Box :Muddy Waters","B000002Q40",1989,"Blues"
"1052","Incense and Peppermints [1990 compilation]","B000002QTD",1990,"Pop"
"1053","Velvet Gloves and Spit","B000002QW2",1995,"Pop"
"1054","Missing Piece","B000002R0R",1996,"Pop"
"1055","Giant for a Day","B000002R0S",1995,"Pop"
"1056","Interview","B000002R0P",1995,"Pop"
"1057","All Four One","B000002R0W",1996,"Alternative Rock"
"1058","Playing the Fool: Official Live Gentle Giant","B000002R0O",1996,"Pop"
"1059","Seven","B000002R4S",1996,"Jazz"
"1060","Thankful","B000002R26",1996,"Blues"
"1061","Natalie","B000002R29",1996,"Pop"
"1062","Fourth","B000002R4Q",1995,"Jazz"
"1063","Free Hand","B000002R9X",1992,"Pop"
"1064","Sheena Easton - Greatest Hits","B000002T0V",2003,"Pop"
"1065","Helen Reddy - All-Time Greatest Hits","B000002TGF",1995,"Pop"
"1066","Teddy Pendergrass","B000002TNC",2000,"Blues"
"1067","Disco 2","B000002TO4",2003,"Alternative Rock"
"1068","Ill Communication","B000002TP7",1994,"Alternative Rock"
"1069","Thank You","B000002TQS",1995,"Alternative Rock"
"1070","Wonderful","B000002TSU",1995,"Alternative Rock"
"1071","Brown Sugar","B000002TWN",1995,"Pop"
"1072","Leon Russell And The Shelter People","B000002TYO",1995,"Folk"
"1073","Blurring the Edges","B000002U3B",1997,"Alternative Rock"
"1074","Rio","B000002U84",1990,"Alternative Rock"
"1075","Wings Greatest","B000002U8M",1990,"Pop"
"1076","The Pet Sounds Sessions","B000002U4U",1997,"Pop"
"1077","Dreamboat Annie","B000002UBL",1988,"Pop"
"1078","Band on the Run","B000002UCL",1999,"Pop"
"1079","American Pie","B000002UBU",1990,"Folk"
"1080","Open Up &amp; Say... Ahhh!","B000002UE9",1988,"Pop"
"1081","Ten Easy Pieces","B000002UFV",2011,"Folk"
"1082","I'm in Love Again","B000002UP9",1993,"Blues"
"1083","If You're Feeling Sinister","B000002ULS",1997,"Alternative Rock"
"1084","Tp","B000002UPA",1993,"Pop"
"1085","Teddy","B000002UPC",1993,"Blues"
"1086","Painted Desert Serenade","B000002UQX",1993,"Folk"
"1087","The Best of Minnie Riperton","B000002UQN",1993,"Blues"
"1088","Some Old Bullshit","B000002UST",1994,"Alternative Rock"
"1089","Flowers in the Dirt","B000002UUM",1990,"Pop"
"1090","Best of Don McLean","B000002UUF",1993,"Folk"
"1091","Luck of the Draw","B000002UXM",1991,"Blues"
"1092","Eye in the Sky","B000002VC3",1990,"Pop"
"1093","Moonlight in Vermont","B000002UZR",1991,"Jazz"
"1094","Vulture Culture","B000002VCZ",1990,"Rock"
"1095","Coming Around Again","B000002VEN",1990,"Folk"
"1096","What You Don't Know","B000002VFA",1989,"Pop"
"1097","Check Your Head","B000002V1I",1991,"Alternative Rock"
"1098","I'm Your Baby Tonight","B000002VH6",1990,"Pop"
"1099","Eurythmics Live 1983- 1989","B000002VKW",1993,"Alternative Rock"
"1100","Expose","B000002VL5",1992,"Blues"
"1101","My Romance","B000002VGE",1990,"Folk"
"1102","Into the Gap","B000002VCN",1991,"Alternative Rock"
"1103","Fumbling Towards Ecstasy","B000002VN7",1994,"Alternative Rock"
"1104","Diva","B000002VMH",1992,"Pop"
"1105","Affection","B000002VFW",1990,"Pop"
"1106","Solace","B000002VLB",1992,"Alternative Rock"
"1107","Reverence","B000002VT3",1997,"Pop"
"1108","Have You Seen Me Lately","B000002VHQ",1990,"Folk"
"1109","Soul Dancing","B000002VMJ",1993,"Pop"
"1110","The Legacy of","B000002VS3",1996,"Blues"
"1111","Greatest Hits","B000002VOU",1995,"Pop"
"1112","Expose - Greatest Hits","B000002VOS",1995,"Pop"
"1113","Squeezing Out Sparks &amp; Live Sparks","B000002VS5",1996,"Alternative Rock"
"1114","Definitive Collection","B000002VSY",1997,"Pop"
"1115","The Freedom Sessions [EP] [ENHANCED CD]","B000002VP3",1995,"Alternative Rock"
"1116","Surfacing","B000002VT6",1997,"Alternative Rock"
"1117","Pure Phase","B000002VUG",1995,"Alternative Rock"
"1118","Even Now","B000002VSH",1996,"Pop"
"1119","Another Night","B000002VOY",1995,"Pop"
"1120","Film Noir","B000002VTP",1997,"Folk"
"1121","La La Means I Love You: The Definitive Collection","B000002VTL",1997,"Pop"
"1122","Farewell Andromeda","B000002W7W",1990,"Country"
"1123","Dreamland","B000002VRQ",1996,"Pop"
"1124","Rose Is Still a Rose","B000002VTV",1998,"Pop"
"1125","Nilsson Schmilsson","B000002W6Q",1990,"Folk"
"1126","Be Yourself Tonight","B000002W8I",1990,"Alternative Rock"
"1127","John Denver's Greatest Hits","B000002W0Z",1990,"Country"
"1128","Poems Prayers &amp; Promises","B000002W7R",1990,"Folk"
"1129","Dr. Buzzard's Original Savannah Band","B000002W21",2011,"Blues"
"1130","Rocky Mountain High","B000002W7S",1990,"Country"
"1131","Break Out","B000002W70",1990,"Blues"
"1132","Greatest Hits: Rock 'n Soul, Part 1","B000002W79",1990,"Alternative Rock"
"1133","Back Home Again","B000002W7V",1990,"Folk"
"1134","Live at the Harlem Square Club 1963","B000002W7N",1990,"Pop"
"1135","Seasons of the Heart","B000002W6H",1990,"Country"
"1136","The Way It Is","B000002W93",1986,"Folk"
"1137","Waylon Jennings - Greatest Hits [RCA]","B000002WCG",1989,"Country"
"1138","The Trinity Session","B000002WCL",1988,"Alternative Rock"
"1139","Evening With John Denver","B000002WEA",1992,"Folk"
"1140","Calypso","B000002WF8",1992,"Folk"
"1141","A Little Touch of Schmilsson in the Night","B000002W5F",1990,"Jazz"
"1142","Harry Nilsson - All-Time Greatest Hits","B000002WD4",1990,"Folk"
"1143","Scenes From the Southside","B000002WA5",1990,"Alternative Rock"
"1144","Personal Best: The Harry Nilsson Anthology","B000002WPP",1995,"Folk"
"1145","Infamous","B000002WR5",1995,"Rap & Hip-Hop"
"1146","Funkmaster Flex Presents The Mix Tape Volume 1: 60 Minutes Of Funk","B000002WVU",1995,"Blues"
"1147","Pale Sun Crescent Moon","B000002WPK",1993,"Alternative Rock"
"1148","Big Bam Boom","B000002WZM",1996,"Alternative Rock"
"1149","Hell on Earth","B000002X0Z",1996,"Rap & Hip-Hop"
"1150","Wu-Tang Forever","B000002WYW",1997,"Rap & Hip-Hop"
"1151","Diana Ross: Greatest Hits- The RCA Years","B000002X1I",1997,"Pop"
"1152","Extra Virgin","B000002X40",1997,"Alternative Rock"
"1153","Country Roads Collection","B000002X27",1997,"Country"
"1154","True Confessions","B000002ZD5",1995,"Alternative Rock"
"1155","Mortal City","B000002ZCC",1997,"Folk"
"1156","War Report","B000003114",1997,"Rap & Hip-Hop"
"1157","In Person at the Whisky a Go Go","B0000032EZ",1992,"Blues"
"1158","Best of Mark-Almond","B0000032HM",1991,"Jazz"
"1159","Crimson &amp; Clover &amp; Cellophane Symphony","B0000032GH",1991,"Pop"
"1160","Dusty in Memphis","B0000032UK",1992,"Pop"
"1161","World Is a Ghetto","B0000032UW",1992,"Blues"
"1162","Brand New Me","B0000032UL",1992,"Pop"
"1163","Sparkle","B0000032Y0",1992,"Blues"
"1164","Why Can't We Be Friends?","B0000032V8",1992,"Blues"
"1165","The Very Best of Otis Redding","B0000032XY",1992,"Blues"
"1166","The Very Best of Spinners","B0000032ZU",1993,"Blues"
"1167","Aretha Arrives","B00000331N",1993,"Blues"
"1168","East Bay Grease","B0000032XU",1992,"Jazz"
"1169","The Very Best of Wilson Pickett","B0000032ZS",1993,"Blues"
"1170","Spirit in the Dark","B00000335K",1993,"Blues"
"1171","Young, Gifted and Black","B00000335M",1993,"Blues"
"1172","Aretha Live at Fillmore West","B00000335L",1993,"Blues"
"1173","Mighty Love","B00000337G",1995,"Blues"
"1174","The Very Best of Aretha Franklin: Vol.2 (The 70's)","B000003381",1994,"Pop"
"1175","The Very Best of Aretha Franklin: The 60's","B00000337Z",1994,"Blues"
"1176","Soul 69","B00000335I",1993,"Blues"
"1177","Head (1968 Film)","B0000033E5",1994,"Pop"
"1178","Aretha in Paris","B0000033FZ",1994,"Pop"
"1179","Hey Now Hey (The Other Side Of The Sky)","B0000033G0",2010,"Pop"
"1180","Funkify Your Life: Anthology","B0000033GN",1995,"Pop"
"1181","This Girl's in Love With You","B00000335J",1993,"Blues"
"1182","The Best Of SugarHill Gang: Rapper's Delight","B0000033K4",1996,"Rap & Hip-Hop"
"1183","Dance With Me: The Best of Orleans","B000003439",1997,"Pop"
"1184","No Protection","B0000035DC",1996,"Pop"
"1185","Sunny Day Real Estate","B0000035HB",1995,"Alternative Rock"
"1186","Whiskey for the Holy Ghost","B0000035F5",1994,"Alternative Rock"
"1187","Bubble &amp; Scrape","B0000035FO",1993,"Alternative Rock"
"1188","Under the Bushes Under the Stars","B0000036UW",1996,"Alternative Rock"
"1189","Alien Lanes","B0000036TL",1995,"Alternative Rock"
"1190","Exile in Guyville","B0000036RP",1993,"Alternative Rock"
"1191","Mag Earwhig!","B0000036XD",1997,"Alternative Rock"
"1192","Life After Death","B0000039QA",1997,"Rap & Hip-Hop"
"1193","Money, Power &amp; Respect","B0000039QI",1998,"Blues"
"1194","Ready to Die [Vinyl]","B0000039Q3",2016,"Rap & Hip-Hop"
"1195","Soul on Ice","B000003AB1",1996,"Blues"
"1196","Nocturnal","B000003AB5",1996,"Rap & Hip-Hop"
"1197","Bow Down","B000003ADA",1996,"Rap & Hip-Hop"
"1198","Based on a True Story","B000003AGE",1997,"Pop"
"1199","Ghetto D","B000003AG8",1997,"Rap & Hip-Hop"
"1200","Tru 2 Da Game","B000003AGB",1997,"Rap & Hip-Hop"
"1201","No Way Out","B0000039QD",1997,"Rap & Hip-Hop"
"1202","Thug Life: Volume 1","B000003AEH",1994,"Rap & Hip-Hop"
"1203","Big Thangs","B000003AHB",1997,"Rap & Hip-Hop"
"1204","Ice Cream Man","B000003B5B",1996,"Rap & Hip-Hop"
"1205","Amerikkkas Most Wanted","B000003B6X",1990,"Rap & Hip-Hop"
"1206","Mack 10","B000003B3T",1995,"Pop"
"1207","True","B000003B5O",1995,"Rap & Hip-Hop"
"1208","Straight Outta Compton","B000003B6J",1990,"Rap & Hip-Hop"
"1209","Sailin Da South","B000003B54",1995,"Blues"
"1210","N.W.A. And The Posse","B000003B6U",1989,"Rap & Hip-Hop"
"1211","Me Against the World","B000003AEK",1995,"Rap & Hip-Hop"
"1212","Ain't a Damn Thing Changed","B000003B7Z",1991,"Blues"
"1213","Death Certificate","B000003B7W",1991,"Rap & Hip-Hop"
"1214","Bootlegs &amp; B-Sides","B000003B37",1994,"Pop"
"1215","A Christmas Gift for You from Phil Spector","B000003BD7",1990,"Rock"
"1216","Eazy-Duz It","B000003B6G",1990,"Rap & Hip-Hop"
"1217","Predator","B000003B8F",1992,"Rap & Hip-Hop"
"1218","Night Beat","B000003BCX",1995,"Blues"
"1219","154","B000003BGM",1993,"Alternative Rock"
"1220","Shock of the Hour","B000003C3D",1994,"Blues"
"1221","Creepin on Ah Come Up","B000003C3Q",1994,"Pop"
"1222","E 1999 Eternal","B000003C3V",1995,"Pop"
"1223","What's on My Mind","B000003BZ2",1995,"Rap & Hip-Hop"
"1224","311","B000003CLS",1995,"Alternative Rock"
"1225","Nothing Feels Good","B000003GCK",1997,"Alternative Rock"
"1226","Moth Confesses","B000003GZA",1994,"Pop"
"1227","Jazzmatazz, Vol. 1","B000003JBM",1993,"Jazz"
"1228","Hard to Earn","B000003JCL",1994,"Jazz"
"1229","Remixed Remade Remodeled","B000003JD3",1995,"Alternative Rock"
"1230","Jazzmatazz 2","B000003JD7",1995,"Blues"
"1231","Off Parole","B000003JDG",1996,"Rap & Hip-Hop"
"1232","Don't Fight the Feelin","B000003JCV",1994,"Rap & Hip-Hop"
"1233","Stick It to Ya","B000003JB3",1990,"Pop"
"1234","Platinum Collection","B000003JCY",1994,"Alternative Rock"
"1235","Genius of Komeda","B000003KX2",1996,"Alternative Rock"
"1236","There's Nothing Wrong With Love","B000003L0Y",2015,"Alternative Rock"
"1237","Casino","B000003MU3",1995,"Alternative Rock"
"1238","Lost Together","B000003MU4",1995,"Alternative Rock"
"1239","Five Days in July","B000003MVT",1994,"Alternative Rock"
"1240","Outskirts","B000003MU1",1995,"Alternative Rock"
"1241","Chris Knight","B000003N4Y",1998,"Country"
"1242","Stellar Regions","B000003N7W",1995,"Jazz"
"1243","Karma","B000003N7C",1995,"Jazz"
"1244","Live at Village Vanguard Again","B000003N94",1997,"Jazz"
"1245","Meditations","B000003N8P",1996,"Jazz"
"1246","Crescent [Vinyl]","B000003N8Q",1997,"Jazz"
"1247","Jump to It","B000003PH0",1995,"Pop"
"1248","One Foot in the Grave","B000003RN0",1994,"Alternative Rock"
"1249","Trailer Park","B000003RSF",1997,"Alternative Rock"
"1250","Modus Operandi","B000003RZ5",1997,"Pop"
"1251","Bricolage","B000003S7Y",1997,"Rap & Hip-Hop"
"1252","Whatever","B000003TBY",1995,"Alternative Rock"
"1253","Weezer (Blue Album)","B000003TAW",1994,"Alternative Rock"
"1254","Reading Writing &amp; Arithmetic","B000003TA0",1990,"Alternative Rock"
"1255","I'm With Stupid","B000003TBW",1996,"Alternative Rock"
"1256","Blind","B000003TA7",1992,"Alternative Rock"
"1257","Shapeshifter","B000003TQM",1997,"Alternative Rock"
"1258","Music for the Jilted Generation","B000003Z3W",1995,"Pop"
"1259","Whole","B000003ZGY",1997,"Alternative Rock"
"1260","At Newport","B0000046LR",1992,"Jazz"
"1261","Tribes Vibes &amp; Scribes","B0000046MX",1993,"Jazz"
"1262","Study in Brown","B0000046NG",1989,"Jazz"
"1263","Beach Samba","B0000046QZ",1993,"Jazz"
"1264","Positivity","B0000046UI",1994,"Jazz"
"1265","Organ Grinder Swing","B0000046XC",1991,"Jazz"
"1266","Double Rainbow: Music of Antonio Carlos Jobim","B0000046YR",1995,"Jazz"
"1267","Boss Tenors","B00000478H",1990,"Jazz"
"1268","Sonny Side Up","B0000047CZ",1997,"Jazz"
"1269","Movin Wes","B0000047D2",1997,"Jazz"
"1270","Beneath the Surface","B0000047DV",1997,"Jazz"
"1271","Getz / Gilberto","B0000047CX",1997,"Jazz"
"1272","Focus","B0000047CY",1997,"Jazz"
"1273","Bird and Diz","B0000047D3",1997,"Jazz"
"1274","Secret Omen","B0000047RY",1995,"Blues"
"1275","Nassau","B000004B2N",1995,"Alternative Rock"
"1276","It'll End in Tears","B000004B9T",1994,"Alternative Rock"
"1277","Electr-O-Pura","B00000581V",1995,"Alternative Rock"
"1278","Dilate","B0000058MS",2017,"Alternative Rock"
"1279","Not a Pretty Girl","B0000058MQ",2017,"Alternative Rock"
"1280","Ani Difranco","B0000058ME",2017,"Alternative Rock"
"1281","Little Plastic Castle","B0000058MY",2017,"Alternative Rock"
"1282","Living in Clip","B0000058MX",2017,"Alternative Rock"
"1283","Dr Octagonecologyst","B000005AM7",1997,"Rap & Hip-Hop"
"1284","Final Tic","B000005AXT",1996,"Rap & Hip-Hop"
"1285","Long Time No See","B000005B04",1997,"Blues"
"1286","Brick","B000005BBJ",1997,"Alternative Rock"
"1287","Legal Drug Money","B000005AY3",1996,"Rap & Hip-Hop"
"1288","Shelter","B000005BOK",1997,"Blues"
"1289","6 Feet Deep","B000005CEU",1997,"Blues"
"1290","Word Gets Around","B000005CEE",1997,"Alternative Rock"
"1291","Endtroducing.....","B000005DQQ",1996,"Rap & Hip-Hop"
"1292","Preemptive Strike","B000005DQU",1998,"Pop"
"1293","The Fury Of The Aquabats","B000005ENT",1997,"Alternative Rock"
