"","title","asin","genre","year","price","recommendation","sim"
"1346","Elton John - Greatest Hits 1970-2002","B00006RAKP","Pop",2002,13.88,"Peachtree Road",0.696180085091649
"1347","Heart of Stone","B000000ORH","Pop",1989,5,"Gypsys Tramps &amp; Thieves",0.696163041144911
"1348","Gypsys Tramps &amp; Thieves","B000007S0L","Pop",1998,19.99,"Heart of Stone",0.696163041144911
"1349","Harry Nilsson - Greatest Hits","B0000631E5","Folk",2002,7.29,"Flash Harry",0.696111489424467
"1350","Flash Harry","B000IG63CK","Folk",1980,9.49,"Harry Nilsson - Greatest Hits",0.696111489424467
"1351","Nilsson Schmilsson","B000002W6Q","Folk",1990,9.99,"A Little Touch of Schmilsson in the Night",0.696102468049113
"1352","A Little Touch of Schmilsson in the Night","B000002W5F","Jazz",1990,29.12,"Nilsson Schmilsson",0.696102468049113
"1353","Face Value","B000002I8D","Pop",1989,5,"Dance Into the Light",0.696100111306344
"1354","Dance Into the Light","B000002JB3","Pop",1996,6.71,"Face Value",0.696100111306344
"1355","What's the 411","B000002OME","Blues",1992,5,"No More Drama",0.696013761514483
"1356","No More Drama","B00005NHJS","Rap & Hip-Hop",2001,3.99,"What's the 411",0.696013761514483
"1357","Share My World","B000002P64","Blues",1997,9,"Mary",0.695963188818507
"1358","Mary","B00000JWQH","Rap & Hip-Hop",1999,6.12,"Share My World",0.695963188818507
"1359","Show the After Party the Hotel","B000002OWQ","Blues",1995,9.82,"Diary of a Mad Band",0.695925350775419
"1360","Diary of a Mad Band","B000002OQ3","Blues",1993,4.99,"Show the After Party the Hotel",0.695925350775419
"1361","Rock of the Westies","B000001EM3","Folk",1996,9.99,"11-17-70",0.695834148112656
"1362","11-17-70","B000001EGI","Folk",1996,9.94,"Rock of the Westies",0.695834148112656
"1363","Songs from the West Coast","B00005NZDW","Folk",2001,8.85,"Jump Up",0.695765742237028
"1364","Jump Up","B000002OJ5","Other",1992,4.87,"Songs from the West Coast",0.695765742237028
"1365","Year of the Dog...Again","B000G1QX4A","Rap & Hip-Hop",2006,12.99,"It's Dark &amp; Hell Is Hot",0.69572461613295
"1366","It's Dark &amp; Hell Is Hot","B000006O62","Rap & Hip-Hop",1998,10.95,"Year of the Dog...Again",0.69572461613295
"1367","Blood Money","B000EMGAGW","Rap & Hip-Hop",2006,10.08,"Amerikaz Nightmare",0.695408954078767
"1368","Amerikaz Nightmare","B0001BXYRO","Rap & Hip-Hop",2004,12.99,"Blood Money",0.695408954078767
"1369","Reckless","B000002GGU","Pop",1985,4.85,"Live Live Live",0.695319935984247
"1370","Live Live Live","B000002GLI","Pop",1994,7.37,"Reckless",0.695319935984247
"1371","Various Positions","B000002AZX","Folk",1995,25.95,"Ten New Songs",0.69529064335656
"1372","Ten New Songs","B00005NUXS","Folk",2001,8.99,"Various Positions",0.69529064335656
"1373","Night I Fell in Love","B000002631","Blues",1990,6.94,"Never Too Much",0.695137288574165
"1374","Never Too Much","B00005MKDZ","Pop",2001,5.99,"Night I Fell in Love",0.695137288574165
"1375","The Very Best of Aretha Franklin: The 60's","B00000337Z","Blues",1994,7.88,"30 Greatest Hits - Aretha Franklin 2 Discs",0.694983354610015
"1376","Traffic","B000001FTX","Rock",1990,8.68,"Mr Fantasy",0.694874216479565
"1377","Mr Fantasy","B000000ISE","Rock",1993,9.49,"Traffic",0.694874216479565
"1378","Space Boogie: Smoke Oddessey","B00005LVZJ","Rap & Hip-Hop",2001,8.99,"Against The Grain",0.694671011503871
"1379","Against The Grain","B0001KL5C6","Rap & Hip-Hop",2009,16.56,"Space Boogie: Smoke Oddessey",0.694671011503871
"1380","What's Going on","B000001A5X","Blues",1994,3.99,"Let's Get It on",0.694534655637279
"1381","Let's Get It on","B00007FOMQ","Blues",2003,4.99,"What's Going on",0.694534655637279
"1382","Pac's Life","B000JJRIO8","Rap & Hip-Hop",2006,10.98,"Loyal to the Game",0.694532109782632
"1383","Loyal to the Game","B0006IGGLS","Pop",2004,9.68,"Pac's Life",0.694532109782632
"1384","Elton John - Greatest Hits 1970-2002","B00006RAKP","Pop",2002,13.88,"21 At 33",0.694527047597644
"1385","21 At 33","B000002PBF","Other",2007,12.25,"Elton John - Greatest Hits 1970-2002",0.694527047597644
"1386","Until The End Of Time","B00005AKBN","Rap & Hip-Hop",2001,22.25,"The Rose That Grew From Concrete",0.694522675615605
"1387","The Rose That Grew From Concrete","B00004ZDV7","Rap & Hip-Hop",2000,19.52,"Until The End Of Time",0.694522675615605
"1388","Face Off 2","B0007LLPF6","Rap & Hip-Hop",2006,17.38,"Face Off",0.694360305045653
"1389","Face Off","B00005J9U8","Rap & Hip-Hop",2001,12.18,"Face Off 2",0.694360305045653
"1390","White Flag / Paris","B0000AKVHS","Folk",2003,1.29,"Life for Rent",0.694202469240354
"1391","Life for Rent","B000089RVR","Folk",2012,8.29,"White Flag / Paris",0.694202469240354
"1392","So Red the Rose","B000007O5J","Alternative Rock",1991,10.5,"Rio",0.694144308342786
"1393","Rio","B000002U84","Alternative Rock",1990,35,"So Red the Rose",0.694144308342786
"1394","Strictly 4 My N.I.G.G.A.Z.","B000005Z0G","Rap & Hip-Hop",1998,10.83,"2pacalypse Now",0.694015802834933
"1395","2pacalypse Now","B000005Z0E","Rap & Hip-Hop",2011,11.18,"Strictly 4 My N.I.G.G.A.Z.",0.694015802834933
"1396","Rocks","B0000029AS","Pop",1993,7.98,"Live Bootleg",0.693895601838684
"1397","Live Bootleg","B0000029AW","Pop",1993,9.86,"Rocks",0.693895601838684
"1398","Orbital - Middle Of Nowhere - [CD]","B00000IO83","Pop",1999,12.17,"Orbital 2",0.693534787718485
"1399","Orbital 2","B00004T6UZ","Pop",2012,13.98,"Orbital - Middle Of Nowhere - [CD]",0.693534787718485
"1400","Songs from the West Coast","B00005NZDW","Folk",2001,8.85,"Reg Strikes Back",0.693450617280686
"1401","Reg Strikes Back","B0000089FS","Other",2001,17.42,"Songs from the West Coast",0.693450617280686
"1402","Rocks","B0000029AS","Pop",1993,7.98,"Aerosmith",0.693407621687106
"1403","Aerosmith","B0000029AL","Pop",1993,7.99,"Rocks",0.693407621687106
"1404","Hello I Must Be Going","B000002IG4","Pop",1983,11.55,"Dance Into the Light",0.69338244382753
"1405","Dance Into the Light","B000002JB3","Pop",1996,6.71,"Hello I Must Be Going",0.69338244382753
"1406","Cypress Hill 3: Temples of Boom","B000002B0S","Blues",1995,16.8,"Cypress Hill",0.693368962526527
"1407","Cypress Hill","B0000027RY","Blues",1991,11.99,"Cypress Hill 3: Temples of Boom",0.693368962526527
"1408","On the Threshold of a Dream","B000002GQH","Pop",1997,11.49,"A Question of Balance",0.693218833335827
"1409","A Question of Balance","B000001F6A","Pop",1987,17.99,"On the Threshold of a Dream",0.693218833335827
"1410","Waylon Jennings - Greatest Hits [RCA]","B000002WCG","Country",1989,21.59,"Dreaming My Dreams",0.693156528774611
"1411","Dreaming My Dreams","B00005QD6M","Country",2001,22.95,"Waylon Jennings - Greatest Hits [RCA]",0.693156528774611
"1412","Blueprint 2: The Gift &amp; The Curse","B00006ZCFI","Rap & Hip-Hop",2002,10.59,"Blueprint 2.1 Special Edition w/ 2 Bonus Tracks",0.693059986382628
"1413","Oh No It's Devo","B0009HLD2S","Alternative Rock",2010,12.96,"New Traditionalists",0.692792315271543
"1414","New Traditionalists","B000784WOA","Alternative Rock",2010,9.49,"Oh No It's Devo",0.692792315271543
"1415","Peachtree Road","B00061X95Q","Folk",2007,17.75,"Made In England",0.692627224178396
"1416","Made In England","B000001EDN","Pop",1995,14.53,"Peachtree Road",0.692627224178396
"1417","Made In England","B000001EDN","Pop",1995,14.53,"11-17-70",0.692470540603419
"1418","11-17-70","B000001EGI","Folk",1996,9.94,"Made In England",0.692470540603419
"1419","2Pac Live","B0002739R2","Pop",2009,17.2,"2Pac Greatest Hits",0.692463244320764
"1420","2Pac Greatest Hits","B00000FCBH","Pop",1998,21.79,"2Pac Live",0.692463244320764
"1421","The Essential Simon &amp; Garfunkel","B0000DD79B","Folk",2003,13.95,"Bridge Over Troubled Water",0.692445302072471
"1422","Bridge Over Troubled Water","B0000024UX","Folk",1990,12.22,"The Essential Simon &amp; Garfunkel",0.692445302072471
"1423","Toys in the Attic","B0000029AP","Pop",1993,9.38,"Aerosmith",0.691972774802159
"1424","Aerosmith","B0000029AL","Pop",1993,7.99,"Toys in the Attic",0.691972774802159
"1425","Not a Pretty Girl","B0000058MQ","Alternative Rock",2017,11.33,"Ani Difranco",0.691880795677135
"1426","Ani Difranco","B0000058ME","Alternative Rock",2017,9.13,"Not a Pretty Girl",0.691880795677135
"1427","Predator","B000003B8F","Rap & Hip-Hop",1992,17.85,"War &amp; Peace Vol. 1 The War Disc [EXPLICIT LYRICS]",0.691872765119132
"1428","Cypress Hill","B0000027RY","Blues",1991,11.99,"Black Sunday",0.691869240480711
"1429","Black Sunday","B00000295Y","Rap & Hip-Hop",1993,7.98,"Cypress Hill",0.691869240480711
"1430","Oral Fixation vol. 2","B000BOH8XW","Pop",2005,3.49,"Fijacion Oral vol. 1",0.691667270836925
"1431","Fijacion Oral vol. 1","B00097A5HW","Pop",2005,13.57,"Oral Fixation vol. 2",0.691667270836925
"1432","Seventh Sojourn","B000001F60","Pop",1997,8.99,"Every Good Boy Deserves Favour",0.691665934621632
"1433","Every Good Boy Deserves Favour","B000002GQK","Pop",NA,11.98,"Seventh Sojourn",0.691665934621632
"1434","Ray of Light","B000002NJS","Pop",1998,4.73,"Like a Prayer",0.69156063830332
"1435","Like a Prayer","B000002LGQ","Pop",1989,6.35,"Ray of Light",0.69156063830332
"1436","Not a Pretty Girl","B0000058MQ","Alternative Rock",2017,11.33,"Dilate",0.691426956844274
"1437","Dilate","B0000058MS","Alternative Rock",2017,12.18,"Not a Pretty Girl",0.691426956844274
"1438","Point of Entry","B0000025LB","Alternative Rock",1990,7.99,"Defenders of the Faith",0.691378664589013
"1439","Defenders of the Faith","B0000025YM","Alternative Rock",1990,9.99,"Point of Entry",0.691378664589013
"1440","No Silence","B00020X20I","Pop",2004,5.99,"Dedicated",0.691326650671425
"1441","Dedicated","B00005UWFJ","Pop",2004,5.99,"No Silence",0.691326650671425
"1442","The Big Picture","B000001EXB","Folk",1997,6.56,"Elton John's Greatest Hits, Volume 2",0.691193440164456
"1443","Elton John's Greatest Hits, Volume 2","B000001DVR","Folk",1992,9.99,"The Big Picture",0.691193440164456
"1444","Wheels Are Turnin","B00000261N","Pop",1990,8.91,"Nine Lives",0.691031392823886
"1445","Nine Lives","B0000025GB","Pop",1990,12.23,"Wheels Are Turnin",0.691031392823886
"1446","Various Positions","B000002AZX","Folk",1995,25.95,"Songs of Leonard Cohen",0.69074414176577
"1447","Songs of Leonard Cohen","B0000024TT","Folk",1989,16.93,"Various Positions",0.69074414176577
"1448","Face Up","B00005KKAK","Pop",2001,15.99,"Affection",0.690728409069865
"1449","Affection","B000002VFW","Pop",1990,18.35,"Face Up",0.690728409069865
"1450","Coconut Telegraph","B000002PBY","Country",1989,7.39,"A1a",0.690484752485539
"1451","A1a","B000002NYW","Country",1988,16.97,"Coconut Telegraph",0.690484752485539
"1452","Son of a Son of a Sailor","B000002PBX","Country",1989,5.49,"Songs You Know by Heart : Jimmy Buffett's Greatest Hits",0.690467342785721
"1453","Great Depression","B00005O6IR","Rap & Hip-Hop",2001,10.64,"And Then There Was X",0.690422911764089
"1454","And Then There Was X","B00003IE26","Rap & Hip-Hop",1999,10.79,"Great Depression",0.690422911764089
"1455","Trash","B0000026T4","Pop",1989,5,"Love It to Death",0.690398231694219
"1456","Love It to Death","B000002KBB","Pop",1989,7.42,"Trash",0.690398231694219
"1457","Emergency on Planet Earth","B00000295A","Alternative Rock",2005,11.98,"Dynamite",0.69033106717862
"1458","Dynamite","B000819PKC","Alternative Rock",2012,6.55,"Emergency on Planet Earth",0.69033106717862
"1459","All Eyez on Me","B00000163G","Pop",1996,14.99,"2pacalypse Now",0.690254153202692
"1460","2pacalypse Now","B000005Z0E","Rap & Hip-Hop",2011,11.18,"All Eyez on Me",0.690254153202692
"1461","Toto","B0000025CY","Pop",1990,10.82,"Hydra",0.689909536007212
"1462","Hydra","B0000025HE","Pop",1990,15.95,"Toto",0.689909536007212
"1463","Elton John - Greatest Hits","B000001DVP","Folk",1992,7.08,"Caribou",0.689404859258372
"1464","Caribou","B000001DQG","Folk",1996,7.98,"Elton John - Greatest Hits",0.689404859258372
"1465","Ten Summoner's Tales","B000005IL1","Pop",1993,6.91,"Brand New Day",0.689272671258953
"1466","Brand New Day","B00001QGQI","Folk",1999,9,"Ten Summoner's Tales",0.689272671258953
"1467","Tha Carter","B00027JYPI","Rap & Hip-Hop",2004,5,"Tha Block Is Hot",0.689261196468377
"1468","Tha Block Is Hot","B00002MYVJ","Rap & Hip-Hop",1999,9.67,"Tha Carter",0.689261196468377
"1469","Little Plastic Castle","B0000058MY","Alternative Rock",2017,15.94,"Ani Difranco",0.689246834210069
"1470","Ani Difranco","B0000058ME","Alternative Rock",2017,9.13,"Little Plastic Castle",0.689246834210069
"1471","Transcendental Blues","B00004S9AN","Country",2004,4.99,"I Feel Alright",0.689245307968105
"1472","I Feel Alright","B000002N61","Country",1996,9.49,"Transcendental Blues",0.689245307968105
"1473","Getz Plays Jobim: The Girl From Ipanema","B00005UVV5","Jazz",2002,12.58,"Focus",0.689204071867261
"1474","Focus","B0000047CY","Jazz",1997,14.54,"Getz Plays Jobim: The Girl From Ipanema",0.689204071867261
"1475","Too Low for Zero","B000009EJU","Folk",2001,19.52,"21 At 33",0.689064167178254
"1476","21 At 33","B000002PBF","Other",2007,12.25,"Too Low for Zero",0.689064167178254
"1477","Kind of Hush","B00000G3WZ","Pop",1998,9.49,"Carpenters Gold CD [2 Discs]",0.689027585285322
"1478","New Traditionalists","B000784WOA","Alternative Rock",2010,9.49,"Duty Now for the Future",0.688912364636614
"1479","Duty Now for the Future","B000784WN6","Alternative Rock",2010,9.49,"New Traditionalists",0.688912364636614
"1480","The Best of George Benson","B000002N2T","Jazz",1995,15.78,"Beyond Blue Horizon",0.688898497104856
"1481","Beyond Blue Horizon","B000002AGW","Jazz",1997,6.99,"The Best of George Benson",0.688898497104856
"1482","Too Low for Zero","B000009EJU","Folk",2001,19.52,"Rock of the Westies",0.688810465700337
"1483","Rock of the Westies","B000001EM3","Folk",1996,9.99,"Too Low for Zero",0.688810465700337
"1484","Take Me Higher","B000001AAF","Pop",1995,14.98,"Every Day Is A New Day",0.688271363802327
"1485","Every Day Is A New Day","B00000IP8G","Pop",1999,9.98,"Take Me Higher",0.688271363802327
"1486","Elephant","B00008J4P5","Alternative Rock",2008,7.68,"De Stijl",0.687977760228983
"1487","De Stijl","B00004T0PB","Alternative Rock",2000,9.49,"Elephant",0.687977760228983
"1488","The Bridge","B00000267I","Folk",1990,3.99,"Innocent Man",0.687960817079998
"1489","Innocent Man","B00000DCHG","Folk",1998,14.99,"The Bridge",0.687960817079998
"1490","Top Dogg","B00000IMGM","Rap & Hip-Hop",1999,9,"Paid Tha Cost to Be Da Boss",0.687815366800076
"1491","Paid Tha Cost to Be Da Boss","B000075A20","Rap & Hip-Hop",2016,8.95,"Top Dogg",0.687815366800076
"1492","Sleeping With the Past","B0000089FT","Pop",2001,13.82,"Rock of the Westies",0.687406696705705
"1493","Rock of the Westies","B000001EM3","Folk",1996,9.99,"Sleeping With the Past",0.687406696705705
"1494","Ladies of the Canyon","B000002KOQ","Country",1989,7.98,"Court and Spark",0.687312679036303
"1495","Court and Spark","B000002GXL","Folk",1994,7.32,"Ladies of the Canyon",0.687312679036303
"1496","Wildflower","B000AOENCM","Folk",2005,9.75,"Tuesday Night Music Club",0.687304850797585
"1497","Tuesday Night Music Club","B000002G1T","Folk",1993,6.43,"Wildflower",0.687304850797585
"1498","Jump Up","B000002OJ5","Other",1992,4.87,"Elton John - Greatest Hits",0.687080051779463
"1499","Elton John - Greatest Hits","B000001DVP","Folk",1992,7.08,"Jump Up",0.687080051779463
"1500","Strictly 4 My N.I.G.G.A.Z.","B000005Z0G","Rap & Hip-Hop",1998,10.83,"2Pac Greatest Hits",0.687069094517682
"1501","2Pac Greatest Hits","B00000FCBH","Pop",1998,21.79,"Strictly 4 My N.I.G.G.A.Z.",0.687069094517682
"1502","Wheels Are Turnin","B00000261N","Pop",1990,8.91,"R.E.O./T.W.O.",0.686760224500492
"1503","R.E.O./T.W.O.","B0000024ZF","Pop",1989,6.99,"Wheels Are Turnin",0.686760224500492
"1504","What's Going on","B000001A5X","Blues",1994,3.99,"The Best of Marvin Gaye Motown Anthology Series",0.686624919677945
"1505","Flesh of My Flesh, Blood of My Blood","B00000G3X7","Rap & Hip-Hop",1998,12.82,"And Then There Was X",0.686532550756927
"1506","And Then There Was X","B00003IE26","Rap & Hip-Hop",1999,10.79,"Flesh of My Flesh, Blood of My Blood",0.686532550756927
"1507","Loyal to the Game","B0006IGGLS","Pop",2004,9.68,"All Eyez on Me",0.686461158886359
"1508","All Eyez on Me","B00000163G","Pop",1996,14.99,"Loyal to the Game",0.686461158886359
"1509","Let's Get Ready","B000035X1N","Rap & Hip-Hop",2000,7.59,"Ghetto Fabulous",0.686357864874238
"1510","Ghetto Fabulous","B00000DFS3","Rap & Hip-Hop",1998,9.92,"Let's Get Ready",0.686357864874238
"1511","The Essential Michael Jackson","B0009XNUK0","Pop",2005,11.88,"Bad",0.686350921507703
"1512","Bad","B00000269M","Blues",1990,34.99,"The Essential Michael Jackson",0.686350921507703
"1513","Madman Across the Water","B000001EGC","Folk",1996,4.99,"Captain Fantastic and the Brown Dirt Cowboy",0.686156747647008
"1514","Captain Fantastic and the Brown Dirt Cowboy","B000001EGA","Folk",1996,4.99,"Madman Across the Water",0.686156747647008
"1515","To Venus &amp; Back","B00001IVJS","Alternative Rock",1999,9.49,"Crucify",0.686049195372709
"1516","Crucify","B000002ITU","Alternative Rock",2012,13.98,"To Venus &amp; Back",0.686049195372709
"1517","Oh No It's Devo","B0009HLD2S","Alternative Rock",2010,12.96,"Devo - Greatest Hits [Warner Brothers]",0.686036688909017
"1518","Devo - Greatest Hits [Warner Brothers]","B000002LNG","Alternative Rock",1990,7.98,"Oh No It's Devo",0.686036688909017
"1519","Somewhere Over China","B000002PCV","Country",1987,7.35,"Living &amp; Dying in 3/4 Time",0.686011829045098
"1520","Living &amp; Dying in 3/4 Time","B000002PBH","Country",1989,7.5,"Somewhere Over China",0.686011829045098
"1521","Rocks","B0000029AS","Pop",1993,7.98,"Rock in a Hard Place",0.68591745719137
"1522","Rock in a Hard Place","B0000029B3","Pop",1993,32.37,"Rocks",0.68591745719137
"1523","Peachtree Road","B00061X95Q","Folk",2007,17.75,"Elton John - Greatest Hits",0.685791299635501
"1524","Elton John - Greatest Hits","B000001DVP","Folk",1992,7.08,"Peachtree Road",0.685791299635501
"1525","Joan Baez","B00005MKGM","Folk",2001,17.2,"Joan",0.685706994611318
"1526","Joan","B00009KUB3","Folk",2006,16.82,"Joan Baez",0.685706994611318
"1527","Streisand Superman","B0000025AK","Pop",1990,4.74,"Memories",0.68567726901719
"1528","Memories","B0000025OY","Pop",1986,7,"Streisand Superman",0.68567726901719
"1529","Thug World Order","B00006SM86","Rap & Hip-Hop",2004,11.14,"Thug By Nature",0.68556856180716
"1530","Thug By Nature","B00005ARCX","Rap & Hip-Hop",2004,11.23,"Thug World Order",0.68556856180716
"1531","Experience Hendrix: The Best of Jimi Hendrix","B00000DHZJ","Pop",1998,29.99,"Axis: Bold As Love",0.685527877942714
"1532","Axis: Bold As Love","B000002P5W","Pop",1997,25,"Experience Hendrix: The Best of Jimi Hendrix",0.685527877942714
"1533","It's Dark &amp; Hell Is Hot","B000006O62","Rap & Hip-Hop",1998,10.95,"Flesh of My Flesh, Blood of My Blood",0.685187736563089
"1534","Flesh of My Flesh, Blood of My Blood","B00000G3X7","Rap & Hip-Hop",1998,12.82,"It's Dark &amp; Hell Is Hot",0.685187736563089
"1535","Reg Strikes Back","B0000089FS","Other",2001,17.42,"Elton John - Greatest Hits 1970-2002",0.685136949776039
"1536","Elton John - Greatest Hits 1970-2002","B00006RAKP","Pop",2002,13.88,"Reg Strikes Back",0.685136949776039
"1537","Rare Masters","B000001DXH","Folk",1992,27.52,"One Night Only",0.685034124795425
"1538","One Night Only","B000051Y1V","Folk",2000,13.78,"Rare Masters",0.685034124795425
"1539","So-Called Chaos","B00016XMOE","Alternative Rock",2004,21.3,"Collection",0.68446934956223
"1540","Collection","B000B8QF00","Alternative Rock",2005,9.81,"So-Called Chaos",0.68446934956223
"1541","The Rose That Grew From Concrete","B00004ZDV7","Rap & Hip-Hop",2000,19.52,"2pacalypse Now",0.684370260619618
"1542","2pacalypse Now","B000005Z0E","Rap & Hip-Hop",2011,11.18,"The Rose That Grew From Concrete",0.684370260619618
"1543","The Rose That Grew From Concrete","B00004ZDV7","Rap & Hip-Hop",2000,19.52,"R U Still Down",0.684309724249262
"1544","R U Still Down","B00000055E","Blues",2011,17.36,"The Rose That Grew From Concrete",0.684309724249262
"1545","Mary Jean &amp; 9 Others","B00000E9OE","Folk",1989,6.99,"Marshall Crenshaw",0.684225924274147
"1546","Marshall Crenshaw","B000002KNL","Alternative Rock",2011,13.98,"Mary Jean &amp; 9 Others",0.684225924274147
"1547","Lucky","B0000V19LS","Folk",2004,9.99,"Breakdown",0.684161793141642
"1548","Breakdown","B00001WRO7","Folk",1999,3.99,"Lucky",0.684161793141642
"1549","Captain Fantastic and the Brown Dirt Cowboy","B000001EGA","Folk",1996,4.99,"21 At 33",0.684134045075363
"1550","21 At 33","B000002PBF","Other",2007,12.25,"Captain Fantastic and the Brown Dirt Cowboy",0.684134045075363
"1551","White Sport Coat &amp; Pink Crustacean","B000002PBW","Country",1987,7.39,"Coconut Telegraph",0.684057559047604
"1552","Coconut Telegraph","B000002PBY","Country",1989,7.39,"White Sport Coat &amp; Pink Crustacean",0.684057559047604
"1553","On the Threshold of a Dream","B000002GQH","Pop",1997,11.49,"Every Good Boy Deserves Favour",0.683944531558856
"1554","Every Good Boy Deserves Favour","B000002GQK","Pop",NA,11.98,"On the Threshold of a Dream",0.683944531558856
"1555","Thriller","B0000025RI","Blues",1990,5,"The Essential Michael Jackson",0.683842829504366
"1556","The Essential Michael Jackson","B0009XNUK0","Pop",2005,11.88,"Thriller",0.683842829504366
"1557","Too Low for Zero","B000009EJU","Folk",2001,19.52,"Elton John's Greatest Hits, Volume 2",0.683754318493345
"1558","Elton John's Greatest Hits, Volume 2","B000001DVR","Folk",1992,9.99,"Too Low for Zero",0.683754318493345
"1559","Made In England","B000001EDN","Pop",1995,14.53,"21 At 33",0.683649371309932
"1560","21 At 33","B000002PBF","Other",2007,12.25,"Made In England",0.683649371309932
"1561","The Big Picture","B000001EXB","Folk",1997,6.56,"Peachtree Road",0.683626567894889
"1562","Peachtree Road","B00061X95Q","Folk",2007,17.75,"The Big Picture",0.683626567894889
"1563","Remixes","B00009MGQH","Pop",2003,5.99,"Mariah Carey - Greatest Hits",0.68355966135148
"1564","Mariah Carey - Greatest Hits","B00005S7UE","Pop",2001,29.99,"Remixes",0.68355966135148
"1565","Unpredictable","B000000559","Blues",1997,9.74,"Let's Get Ready",0.683544428188201
"1566","Let's Get Ready","B000035X1N","Rap & Hip-Hop",2000,7.59,"Unpredictable",0.683544428188201
"1567","Diver Down","B000002KNO","Pop",1990,9.49,"Best of Van Halen, Vol. 1",0.683186012772532
"1568","Best of Van Halen, Vol. 1","B000002NAA","Pop",1996,4.99,"Diver Down",0.683186012772532
"1569","The Understanding","B00004YWGB","Rap & Hip-Hop",2000,11.38,"The Dynasty: Roc La Familia 2000",0.683054175319464
"1570","The Dynasty: Roc La Familia 2000","B000050HS9","Rap & Hip-Hop",2000,13.42,"The Understanding",0.683054175319464
"1571","New World Record","B0000025DT","Pop",1990,5.99,"Elo 2",0.682631656135553
"1572","Elo 2","B000EHQ7VA","Pop",2006,24.99,"New World Record",0.682631656135553
"1573","Somewhere Over China","B000002PCV","Country",1987,7.35,"A1a",0.682430207462619
"1574","A1a","B000002NYW","Country",1988,16.97,"Somewhere Over China",0.682430207462619
"1575","Various Positions","B000002AZX","Folk",1995,25.95,"New Skin for the Old Ceremony",0.682294916164132
"1576","New Skin for the Old Ceremony","B000002AZZ","Folk",1995,9.99,"Various Positions",0.682294916164132
"1577","Olatunji Concert: The Last Live Recording","B00005MAWI","Jazz",2001,9.49,"Meditations",0.682181459002478
"1578","Meditations","B000003N8P","Jazz",1996,29.99,"Olatunji Concert: The Last Live Recording",0.682181459002478
"1579","Havana Daydreamin","B000002PBZ","Country",1987,7.22,"Changes in Latitudes Changes in Attitudes",0.682042190691179
"1580","Changes in Latitudes Changes in Attitudes","B000002PBN","Country",1987,6.19,"Havana Daydreamin",0.682042190691179
"1581","The Essential Johnny Cash","B00005Y1M2","Country",2002,11.88,"American IV: The Man Comes Around",0.682023493574394
"1582","American IV: The Man Comes Around","B00006L7XQ","Folk",2013,10.87,"The Essential Johnny Cash",0.682023493574394
"1583","Nine Lives","B0000025GB","Pop",1990,12.23,"Essential Reo Speedwagon",0.68174192172539
"1584","Essential Reo Speedwagon","B0002JE8WK","Pop",2004,18.32,"Nine Lives",0.68174192172539
"1585","Love Songs: A Compilation Old &amp; New","B000255LNE","Pop",2010,15.42,"Both Sides",0.681695655016862
"1586","Both Sides","B000002IXB","Pop",1993,9.49,"Love Songs: A Compilation Old &amp; New",0.681695655016862
"1587","Thank You","B000002TQS","Alternative Rock",1995,9.49,"So Red the Rose",0.681438763109155
"1588","So Red the Rose","B000007O5J","Alternative Rock",1991,10.5,"Thank You",0.681438763109155
"1589","Trauma","B000AGTQ54","Rap & Hip-Hop",2005,16.96,"The Best of DJ Quik: Da Finale",0.681400034993098
"1590","The Best of DJ Quik: Da Finale","B000077SY2","Rap & Hip-Hop",2002,9.35,"Trauma",0.681400034993098
"1591","Oh No It's Devo","B0009HLD2S","Alternative Rock",2010,12.96,"Freedom of Choice",0.681193911859992
"1592","Freedom of Choice","B000002KLC","Alternative Rock",1990,7.99,"Oh No It's Devo",0.681193911859992
"1593","The Big Picture","B000001EXB","Folk",1997,6.56,"11-17-70",0.681157232448275
"1594","11-17-70","B000001EGI","Folk",1996,9.94,"The Big Picture",0.681157232448275
"1595","Under the Pink","B000002IXU","Alternative Rock",1994,12.25,"Scarlet's Walk",0.68114613673566
"1596","Scarlet's Walk","B00006I4YD","Alternative Rock",2002,4.49,"Under the Pink",0.68114613673566
"1597","Rock of the Westies","B000001EM3","Folk",1996,9.99,"Elton John",0.680988165674898
"1598","Elton John","B000001EG6","Folk",1996,7.98,"Rock of the Westies",0.680988165674898
"1599","The Ultimate Collection","B000BGR0OM","Alternative Rock",2005,9.99,"Sweet Dreams Are Made of This",0.680987894456709
"1600","Sweet Dreams Are Made of This","B0000CFXNP","Alternative Rock",2005,19,"The Ultimate Collection",0.680987894456709
"1601","Pac's Life","B000JJRIO8","Rap & Hip-Hop",2006,10.98,"2Pac Greatest Hits",0.680871803624489
"1602","2Pac Greatest Hits","B00000FCBH","Pop",1998,21.79,"Pac's Life",0.680871803624489
"1603","Scoundrel Days","B000005S5N","Alternative Rock",1995,15.06,"Hunting High and Low",0.680598604053753
"1604","Hunting High and Low","B000002L7Y","Alternative Rock",1990,14.49,"Scoundrel Days",0.680598604053753
"1605","Yes I Am","B000001G0U","Folk",1993,4.99,"Skin",0.680554436442249
"1606","Skin","B000002HAR","Rock",2009,13.98,"Yes I Am",0.680554436442249
"1607","Skin","B00005LODB","Folk",2001,18.88,"Yes I Am",0.680554436442249
"1608","Rocky Mountain Collection","B000006LEV","Folk",1996,16.99,"Back Home Again",0.680431255732264
"1609","Back Home Again","B000002W7V","Folk",1990,9,"Rocky Mountain Collection",0.680431255732264
